epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.108,1.44162,1.35312,1.32819,0.87481,0.74366,0.83355,0.52969,1.23015,0.65645,1.09906,0.0670394,0.000332935,0.000332935
2,775.792,1.20704,0.70049,1.0929,0.87341,0.78915,0.8642,0.55062,1.19271,0.59618,1.05815,0.0339887,0.00061553,0.00061553
3,1127.87,1.18274,0.66536,1.06581,0.88129,0.79532,0.87373,0.57562,1.1629,0.58373,1.0389,0.000887179,0.000847355,0.000847355
4,1466.02,1.16598,0.63024,1.05871,0.88663,0.79047,0.87294,0.57304,1.17221,0.59177,1.05579,0.000771538,0.000771538,0.000771538
5,1796.28,1.14707,0.60017,1.04049,0.88372,0.80251,0.87951,0.57816,1.16635,0.57581,1.0421,0.000695385,0.000695385,0.000695385
6,2124.12,1.13693,0.57958,1.03815,0.89269,0.79888,0.87976,0.57992,1.15521,0.58047,1.0424,0.000619231,0.000619231,0.000619231
7,2457.56,1.12396,0.56414,1.03587,0.89399,0.8093,0.88614,0.59058,1.14875,0.55717,1.03963,0.000543077,0.000543077,0.000543077
8,2786.41,1.11223,0.54769,1.02332,0.88913,0.81154,0.88983,0.59222,1.14403,0.54467,1.02864,0.000466923,0.000466923,0.000466923
9,3106.5,1.10615,0.53526,1.01813,0.89133,0.81628,0.89123,0.59309,1.14722,0.53925,1.04115,0.000390769,0.000390769,0.000390769
10,3424.59,1.09199,0.51921,1.00982,0.89381,0.81202,0.88973,0.59499,1.13707,0.53565,1.02303,0.000314615,0.000314615,0.000314615
11,3739.82,1.08557,0.51103,1.00623,0.89505,0.8181,0.89479,0.5987,1.13685,0.52988,1.02521,0.000238462,0.000238462,0.000238462
12,4054.86,1.07667,0.49946,1.00442,0.89296,0.81746,0.89249,0.59965,1.12781,0.52418,1.02173,0.000162308,0.000162308,0.000162308
13,4369.46,1.06477,0.48662,0.99946,0.89828,0.8146,0.89114,0.60005,1.12643,0.52739,1.02384,8.61538e-05,8.61538e-05,8.61538e-05
